id,url,platform,img,url
,,,,
1,Hamilton's Jewelry,Custom,https://stargems.com/assets/img/Websites/HJ.webp,https://hamiltonjewelersonline.com/
2,Rare Gem Studio,Custom,https://stargems.com/assets/img/Websites/RGS.webp,https://raregemstudio.com/
3,Barnards Fine Jewelry,Custom,https://stargems.com/assets/img/Websites/BFJ.webp,https://barnardsjewelry.com/
4,Baggett's Jewelry,Custom,https://stargems.com/assets/img/Websites/BAG.webp,https://www.baggettsjewelry.com/
5,Alabama Family Optometry,Custom,https://stargems.com/assets/img/Websites/AFO.webp,https://afoptometry.com/
6,Showcase Jewelers - Hays,Custom,https://stargems.com/assets/img/Websites/HAYS.webp,https://showcasehays.com/
7,Marks Jewelry Co.,Custom,https://stargems.com/assets/img/Websites/MARKS.webp,https://marksjewelryco.com/
8,Lovette Jewelers,Custom,https://stargems.com/assets/img/Websites/LOVETTE.webp,https://lovettejewelers.com/
9,KeepSakes Jewelry,Custom,https://stargems.com/assets/img/Websites/KSJ.webp,https://keepsakesjewelry.com/
10,Jewelers On Main,Custom,https://stargems.com/assets/img/Websites/JOM.webp,https://jewelersonmain.com/
11,Morande Jewelers,Custom,https://stargems.com/assets/img/Websites/MORA.webp,https://morandejewelers.com/
12,Fountain City Jewelers,Custom,https://stargems.com/assets/img/Websites/FCJ.webp,https://fountaincityjewelers.com/
13,Concierge Jewelry Repair,Custom,https://stargems.com/assets/img/Websites/CONC.webp,https://conciergejewelryrepair.com/
14,Zembar Jewelers,Custom,https://stargems.com/assets/img/Websites/ZEMB.webp,https://www.zembarjeweler.com/
15,Steves Custom Jewelers,Custom,https://stargems.com/assets/img/Websites/SCJ.webp,https://stevescustomjewelers.com/
16,TPM&F,Custom,https://stargems.com/assets/img/Websites/TPM.webp,https://spetpmf.com/
17,Stephens Fine Jewelry,Custom,https://stargems.com/assets/img/Websites/SFJ.webp,https://stephensfinejewelryoh.com/
18,Signature Diamonds,Custom,https://stargems.com/assets/img/Websites/SDG.webp,https://signaturediamondsknoxville.com/
19,Showcase Jewelers - Salina,Custom,https://stargems.com/assets/img/Websites/SALINA.webp,https://showcasejewelers.net/
20,Quality Jewelers,Custom,https://stargems.com/assets/img/Websites/QJ.webp,https://qualityjewelers.com/
21,Marshall's Jewelers,Custom,https://stargems.com/assets/img/Websites/MAJ.webp,https://www.marshallsjewelersonline.com/
22,Dylan Rings,Custom,https://stargems.com/assets/img/Websites/DR.webp,https://www.dylanrings.com/
23,Talles Diamonds and Gold,Custom,https://stargems.com/assets/img/Websites/TDG.webp,https://tallesdiamonds.com/
24,Jefferson Estate Jewelers,Custom,https://stargems.com/assets/img/Websites/JEFF.webp,https://jeffersonestatejewelers.com/
25,Henry's Jewelers,Custom,https://stargems.com/assets/img/Websites/HENRYS.webp,https://www.henrys-jewelers.com/
26,"Ellington Jewelers, Inc",Custom,https://stargems.com/assets/img/Websites/EJ.webp,https://ellingtonjewelers.com/
27,Lowery Jewelers,Custom,https://stargems.com/assets/img/Websites/LJ.webp,https://loweryjewelers.com/
28,Hinz Jewelers,Custom,https://stargems.com/assets/img/Websites/HINZ.webp,https://hinzjewelers.com/
29,Gregory Jewelers,Custom,https://stargems.com/assets/img/Websites/GJM.webp,https://gregoryjewelersofmorganton.com/
30,Gemco International,Custom,https://stargems.com/assets/img/Websites/GEMCO.webp,https://gemcodiamond.com/
31,Gayle's Jewelers,Custom,https://stargems.com/assets/img/Websites/GJ.webp,https://www.gaylesjewelers.com/
32,"Fancy That Jewelry in Stockbridge, GA",Custom,https://stargems.com/assets/img/Websites/FT.webp,http://afancythatjewelry.com/
33,Ed White Jewelers,Custom,https://stargems.com/assets/img/Websites/EWJ.webp,http://edwhitejewelers.com/
34,Jewelmasters,Shopify,https://stargems.com/assets/img/Websites/Jewel-Masters.webp,http://jewelmastersonline.com/
35,M & M Jewelers,Custom,https://stargems.com/assets/img/Websites/MMJ.webp,http://mmjewelersbirmingham.com/
36,A. T. Thomas Jewelers,Custom,https://stargems.com/assets/img/Websites/ATT.webp,http://atthomasjewelers.com/
37,Bowman Jewelers,Custom,https://stargems.com/assets/img/Websites/BJJ.webp,http://bowmanjewelers.com/
38,Diamond Depot,Custom,https://stargems.com/assets/img/Websites/DDA.webp,http://oxforddiamonddepot.com/
39,Pearson's Jewelers,Custom,https://stargems.com/assets/img/Websites/PEAR.webp,http://pearsonsjewelersca.com/
